,Name,Age,Embarked,Position,Crew_Type
2,"Akerman, Mr. Albert",28,Southampton,Third Class ,Victualling
3,"Akerman, Mr. Joseph Francis",35,Southampton,Asst. Pantry Steward,Victualling
4,"Allan, Mr. Robert Spencer",36,Southampton,First Class Bedroom Steward,Victualling
5,"Allen, Mr. George",26,Southampton,Scullion,Victualling
6,"Allen, Mr. Frederick",17,Southampton,Lift Steward,Victualling
7,"Allsop, Mr. Frank Richard",41,Southampton,Bedroom Steward,Victualling
8,"Anderson, Mr. Walter J.",48,Southampton,Scullion,Victualling
9,"Andrews,  Mr. Charles Edward",19,Southampton,Assistant Second Class Saloon Steward,Victualling
10,"Ashcroft, Mr. Austin Aloysius",26,Southampton,Clerk,Victualling
11,"Ashe, Mr. Henry Wellesley",32,Southampton,Glory Hole Steward,Victualling
12,"Ayling, Mr. George Edwin",22,Southampton,Assistant Vegetable Cook,Victualling
13,"Back, Mr. Charles Frederick",32,Belfast,Assistant Lounge Steward,Victualling
14,"Baggott, Mr. Allen Marden",28,Southampton,Saloon Steward,Victualling
15,"Bagley, Mr. Edward Ernest",31,Southampton,First Class Saloon Steward,Victualling
16,"Bailey, Mr. George Francis",36,Belfast,Second Class Saloon Steward,Victualling
17,"Ball, Mr. Percy",19,Southampton,First Class Plate Steward,Victualling
18,"Barker, Mr. Albert Vale",19,Southampton,Assistant Baker,Victualling
19,"Barker, Mr. Ernest T.",37,Southampton,First Class Saloon Steward,Victualling
20,"Barker, Mr. Reginald Lomond",40,Belfast,Assistant ,Victualling
21,"Barlow, Mr. George",36,Southampton,Second Class Bedroom Steward,Victualling
22,"Barnes, Mr. Frederick",37,Southampton,Baker,Victualling
23,"Barratt, Mr. Arthur",15,Southampton,Bell Boy,Victualling
24,"Barringer, Mr. Arthur William",33,Belfast,Saloon Steward,Victualling
25,"Barrow, Mr. Harry",35,Southampton,Butcher,Victualling
26,"Barrows, Mr. William",32,Southampton,First Class Saloon Steward,Victualling
27,"Barton, Mr. Sidney John",25,Southampton,Third Class Steward,Victualling
28,"Baxter, Mr. Harry Ross",51,Southampton,Third Class Steward,Victualling
29,"Baxter, Mr. Thomas Ferguson",48,Southampton,Linen Steward,Victualling
30,"Bedford, Mr. William Barnet",31,Southampton,Assistant Roast Cook,Victualling
31,"Beedem, Mr. George Arthur",34,Southampton,Second Class Bedroom Steward,Victualling
32,"Beere, Mr. William",19,Southampton,Kitchen Porter,Victualling
33,"Benham, Mr. Frederick",29,Southampton,Second Class Saloon Steward,Victualling
34,"Bennett, Mrs. Mabel",30,Southampton,First Class Stewardess,Victualling
35,"Bessant, Mr. Edward William",31,Southampton,Baggage Steward,Victualling
36,"Best, Mr. Alfred",38,Belfast,First Class Saloon Steward,Victualling
37,"Blake, Mr. Seaton",26,Belfast,Mess Steward,Victualling
38,"Bishop, Mr. Walter Alexander",34,Belfast,First Class Bedroom Steward,Victualling
39,"Bliss, Mrs. Emma (née Junod)",45,Southampton,First Class Stewardess,Victualling
40,"Bochatay, Mr. Alexis Joseph",30,Southampton,Chef,Victualling
41,"Bogie, Mr. Norman Leslie",29,Southampton,Second Class Bedroom Steward,Victualling
42,"Bond, Mr. William John",40,Belfast,First Class Bedroom Steward,Victualling
43,"Boothby, Mr. W.",36,Southampton,Second Class Bedroom Steward,Victualling
44,"Boston, Mr. William John",30,Belfast,Deck Steward,Victualling
45,"Boughton, Mr. B.",24,Southampton,Saloon Steward,Victualling
46,"Boyd, Mr. John",35,Southampton,Saloon Steward,Victualling
47,"Boyes, Mr. John Henry",36,Belfast,Saloon Steward,Victualling
48,"Bradshaw, Mr. J.A.",43,Southampton,Plate Steward,Victualling
49,"Brewster, Mr. George H.",48,Belfast,Bedroom Steward,Victualling
50,"Bride, Mr. Harold Sydney",22,Belfast,Assistant Telegraphist,Victualling
51,"Bristow, Mr. Robert Charles",31,Southampton,Steward,Victualling
52,"Bristow, Mr. Harry",33,Southampton,Saloon Steward,Victualling
53,"Brookman, Mr, John",27,Southampton,Steward,Victualling
54,"Broom, Mr. H.",33,Belfast,Bath Steward,Victualling
55,"Broome, Mr. Athol Frederick",30,Southampton,Verandah Steward,Victualling
56,"Brown, Mr. Edward",34,Belfast,Saloon Steward,Victualling
57,"Brown, Mr. Walter James",28,Belfast,Saloon Steward,Victualling
58,"Buckley, Mr. H.E.",34,Southampton,Assistant Vegetable Cook,Victualling
59,"Bull, Mr. W.",30,Southampton,Scullion,Victualling
60,"Bulley, Mr. Henry Ashburnham",21,Southampton,Boots,Victualling
61,"Bunnell, Mr. Wilfred",20,Belfast,Plate Steward,Victualling
62,"Burgess, Mr. Charles Reginald",18,Southampton,Extra Third Baker,Victualling
63,"Burke, Mr. Richard Edward",30,Belfast,Lounge Steward,Victualling
64,"Burke, Mr. William",31,Belfast,Saloon Steward,Victualling
65,"Burr, Mr. Ewart",29,Southampton,Saloon Steward,Victualling
66,"Burrage, Mr. Alfred",20,Southampton,Plate Steward,Victualling
67,"Butt, Mr. Robert Henry",22,Southampton,Saloon Steward,Victualling
68,"Butterworth, Mr. John",23,Southampton,Saloon Steward,Victualling
69,"Byrne, Mr. J.E.",31,Southampton,Bedroom Steward,Victualling
70,"Campbell, Mr. Donald S.",25,Southampton,Third Class Clerk,Victualling
71,"Carney, Mr. William",31,Southampton,Lift Steward,Victualling
72,"Cartwright, Mr. James Edward",32,Belfast,Saloon Steward,Victualling
73,"Casswill, Mr. Charles",32,Southampton,Saloon Steward,Victualling
74,"Caton, Miss Annie",50,Southampton,Turkish Bath Stewardess,Victualling
75,"Caunt, Mr. William Ewart",27,Southampton,Grill Cook,Victualling
76,"Cave, Mr. Herbert",34,Belfast,Saloon Steward,Victualling
77,"Cecil, Mr. C.",20,Southampton,Steward,Victualling
78,"Chapman, Mr. Joseph Charles",32,Southampton,Boots,Victualling
79,"Charman, Mr. John",25,Southampton,Saloon Steward,Victualling
80,"Cheverton, Mr. William Edward",27,Belfast,Saloon Steward,Victualling
81,"Chitty, Mr. Archibald George",28,Southampton,Steward,Victualling
82,"Chitty, Mr. George Henry",52,Southampton,Baker,Victualling
83,"Christmas, Mr. H.",33,Southampton,Assistant Saloon Steward,Victualling
84,"Coleman, Mr. Albert Edward",28,Southampton,Saloon Steward,Victualling
85,"Coleman, Mr. John",57,Southampton,Mess Steward,Victualling
86,"Colgan, Mr. E. Joseph",33,Southampton,Scullion,Victualling
87,"Collins, Mr. John",17,Southampton,Scullion,Victualling
88,"Conway, Mr. P.W.",25,Belfast,Saloon Steward,Victualling
89,"Cook, Mr. George",42,Southampton,Saloon Steward,Victualling
90,"Coombs, Mr. Augustus Charles",38,Southampton,Cook,Victualling
91,"Corben, Mr. Ernest Theodore",27,Southampton,Assistant Printer Steward,Victualling
92,"Coutin, Mr. Auguste Louis",28,Southampton,Entree Cook,Victualling
93,"Cox, Mr. William Denton",29,Southampton,Steward,Victualling
94,"Crafter, Mr. Frederick",27,Southampton,Saloon Steward,Victualling
95,"Crawford, Mr. Alfred",36,Belfast,Bedroom Steward,Victualling
96,"Crisp, Mr. Albert Hector",35,Belfast,Saloon Steward,Victualling
97,"Crispin, Mr. William",32,Southampton,Glory Hole Steward,Victualling
98,"Crosby, Mr. J. Bertram",42,Southampton,Turkish Bath Attendant,Victualling
99,"Crowe, Mr. George Frederick",30,Southampton,Saloon Steward,Victualling
100,"Crumplin, Mr. Charles",35,Belfast,Bedroom Steward,Victualling
101,"Cullen, Mr. Charles",45,Belfast,Bedroom Steward,Victualling
102,"Cunningham, Mr. Andrew",35,Belfast,Bedroom Steward,Victualling
103,"Daniels, Mr. Sidney Edward",18,Southampton,Steward,Victualling
104,"Dashwood, Mr. William George",19,Southampton,Saloon Steward,Victualling
105,"Davies, Mr. Gordon Raleigh",33,Belfast,Bedroom Steward,Victualling
106,"Davies, Mr. John James",27,Belfast,Extra 2nd Baker,Victualling
107,"Davies, Mr. Robert J.",26,Belfast,Saloon Steward,Victualling
108,"Dean, Mr. George H.",19,Southampton,Assistant Saloon Steward,Victualling
109,"Deeble, Mr. Alfred Arnold",29,Belfast,Saloon Steward,Victualling
110,"Derrett, Mr. Albert",26,Belfast,Saloon Steward,Victualling
111,"Deslands, Mr. Percival Stainer",36,Southampton,Saloon Steward,Victualling
112,"Desvernine, Mr. Louis Gabriel",20,Southampton,Assistant Pastry Cook,Victualling
113,"Dinenage, Mr. James Richard",47,Southampton,Saloon Steward,Victualling
114,"Dodd, Mr. George Charles",44,Belfast,Steward,Victualling
115,"Dolby, Mr. Joseph",36,Belfast,Reception Room Steward,Victualling
116,"Donoghue, Mr. Frank",35,Belfast,Bedroom Steward,Victualling
117,"Doughty, Mr. W.",22,Southampton,Saloon Steward,Victualling
118,"Dunford, Mr. William",41,Southampton,Hospital Steward,Victualling
119,"Dyer, Mr. William",31,Southampton,Saloon Steward,Victualling
120,"Edbrooke, Mr. F.",24,Southampton,Steward,Victualling
121,"Ede, Mr. George B.",22,Southampton,Steward,Victualling
122,"Edge, Mr. Frederick William",37,Southampton,Deck Steward,Victualling
123,"Edwards, Mr. Clement",38,Southampton,Assistant Pantryman Steward,Victualling
124,"Egg, Mr. W.H.",34,Southampton,Steward,Victualling
125,"Ellis, Mr. John Bertram",30,Southampton,Assistant Vegetable Cook,Victualling
126,"Ennis, Mr. Walter",35,Southampton,Turkish Bath Attendant,Victualling
127,"Etches, Mr. Henry Samuel",41,Belfast,Bedroom Steward,Victualling
128,"Evans, Mr. George Richard",32,Belfast,Saloon Steward,Victualling
129,"Fairall, Mr. Henry",38,Belfast,Saloon Steward,Victualling
130,"Farrenden, Mr. Ernest John",32,Belfast,Confectioner,Victualling
131,"Faulkner, Mr. William Stephen",37,Belfast,Bedroom Steward,Victualling
132,"Fellowes, Mr. Alfred J.",29,Belfast,Boots,Victualling
133,"Feltham, Mr. G.",36,Southampton,Vienna Baker,Victualling
134,"Finch, Mr. Harry",18,Southampton,Steward,Victualling
135,"Fletcher, Mr. Peter W.",26,Belfast,Bugler Steward,Victualling
136,"Foley, Mr. William C.",26,Southampton,Steward,Victualling
137,"Ford, Mr. Ernest",32,Southampton,Steward,Victualling
138,"Ford, Mr. F.",37,Southampton,Bedroom Steward,Victualling
139,"Fox, Mr. William Thomas",27,Southampton,Steward,Victualling
140,"Franklin, Mr. Alan Vincent",29,Southampton,Saloon Steward,Victualling
141,"Freeman, Mr. Ernest Edward Samuel",43,Belfast,Deck Steward,Victualling
142,"Geddes, Mr. Richard Charles",31,Southampton,Bedroom Steward,Victualling
143,"Gibbons, Mr. Jacob William",36,Southampton,Saloon Steward,Victualling
144,"Giles, Mr. John Robert",30,Southampton,Baker,Victualling
145,"Gill, Mr. Joseph Stanley",34,Belfast,Bedroom Steward,Victualling
146,"Gill, Mr. Patrick",38,Southampton,Ship's Cook,Victualling
147,"Gold, Mrs. Katherine (née Cook)",42,Southampton,Stewardess,Victualling
148,"Gollop, Mr. F.",28,Southampton,Assistant Passage Cook,Victualling
149,"Goshawk, Mr. Arthur James",31,Belfast,3rd Saloon Steward,Victualling
150,"Gregson, Miss Mary",44,Southampton,Stewardess,Victualling
151,"Gunn, Mr. Joseph Alfred",28,Southampton,Assistant Saloon Steward,Victualling
152,"Guy, Mr. Edward John",28,Southampton,Boots,Victualling
153,"Halford, Mr. Richard",22,Southampton,Steward,Victualling
154,"Hall, Mr. F.A.J.",38,Southampton,Scullion,Victualling
155,"Hamblyn, Mr. Ernest William",41,Southampton,Bedroom Steward,Victualling
156,"Hamilton, Mr. Ernest",25,Belfast,Assistant Smoke Room Steward,Victualling
157,"Harding, Mr. A.",20,Southampton,Assistant Pantry Steward,Victualling
158,"Hardwick, Mr. Reginald",21,Southampton,Kitchen Porter,Victualling
159,"Hardy, Mr. John T.",37,Belfast,Chief 2nd Class Steward,Victualling
160,"Harris, Mr. Charles William",19,Southampton,Saloon Steward,Victualling
161,"Harris, Mr. Clifford Henry",16,Southampton,Bell Boy,Victualling
162,"Harris, Mr. Edward",18,Southampton,Assistant Pantryman Steward,Victualling
163,"Harrison, Mr. Aragon D.",40,Southampton,Saloon Steward,Victualling
164,"Hart, Mr. John Edward",31,Southampton,3rd Class Steward,Victualling
165,"Hartnell, Mr. Frederick",21,Southampton,Saloon Steward,Victualling
166,"Hatch, Mr. Hugh",22,Southampton,Scullion,Victualling
167,"Hawkesworth, Mr. James",38,Southampton,Saloon Steward,Victualling
168,"Hawkesworth, Mr. William Walter",38,Southampton,Deck Steward,Victualling
169,"Hayter, Mr. Arthur",44,Belfast,Bedroom Steward,Victualling
170,"Heinen, Mr. Joseph",30,Southampton,Saloon Steward,Victualling
171,"Hendy, Mr. Edward Martin",38,Belfast,Saloon Steward,Victualling
172,"Hensford, Mr. Herbert George",29,Southampton,Butcher,Victualling
173,"Hewett, Mr. Thomas",37,Belfast,Bedroom Steward,Victualling
174,"Hill, Mr. H.P.",36,Southampton,Steward,Victualling
175,"Hill, Mr. James Colston",38,Belfast,Bedroom Steward,Victualling
176,"Hinckley, Mr. George",35,Southampton,Bath Steward,Victualling
177,"Hine, Mr. William Edward",36,Southampton,Baker,Victualling
178,"Hiscock, Mr. S.",22,Southampton,Plate Steward,Victualling
179,"Hoare, Mr. Leonard James",21,Belfast,Saloon Steward,Victualling
180,"Hogg, Mr. Charles William",37,Southampton,Bedroom Steward,Victualling
181,"Hogue, Mr. E.",22,Southampton,Plate Steward,Victualling
182,"Holland, Mr. Thomas",28,Belfast,Reception Steward,Victualling
183,"Holloway, Mr. Sidney",20,Southampton,Clothes Presser,Victualling
184,"Hopkins, Mr. F.",16,Southampton,Plate Steward,Victualling
185,"House, Mr. William",38,Belfast,Saloon Steward,Victualling
186,"Howell, Mr. Arthur Albert",31,Belfast,Saloon Steward,Victualling
187,"Hughes, Mr. William Thomas",33,Southampton,Steward,Victualling
188,"Humby, Mr. Frederick",16,Southampton,Plate Steward,Victualling
189,"Humphreys, Mr. Thomas Humphrey",31,Southampton,Assistant Saloon Steward,Victualling
190,"Hutchinson, Mr. James",29,Southampton,Vegetable Cook,Victualling
191,"Hyland, Mr. Leo James",19,Southampton,Steward,Victualling
192,"Ide, Mr. Harry John",32,Southampton,Bedroom Steward,Victualling
193,"Ingrouille, Mr. Henry",21,Southampton,Steward,Victualling
194,"Ings, Mr. William Ernest",20,Southampton,Scullion,Victualling
195,"Jackson, Mr. Cecil",29,Belfast,Boots,Victualling
196,"Janaway, Mr. William Frank",35,Belfast,Bedroom Steward,Victualling
197,"Jenner, Mr. Harry",41,Belfast,Saloon Steward,Victualling
198,"Jensen, Mr. Charles Valdemar",25,Southampton,Saloon Steward,Victualling
199,"Jessop, Miss Violet Constance",24,Southampton,Stewardess,Victualling
200,"Johnson Thorne, Mr. Harry",25,Southampton,Assistant Ship's Cook,Victualling
201,"Johnston, Mr. James",41,Belfast,Saloon Steward,Victualling
202,"Jones, Mr. Albert",17,Southampton,Saloon Steward,Victualling
203,"Jones, Mr. Arthur Ernest",38,Southampton,Plate Steward,Victualling
204,"Jones, Mr. H.",29,Southampton,Roast Cook,Victualling
205,"Jones, Mr. Reginald V.",20,Southampton,Saloon Steward,Victualling
206,"Joughin, Mr. Charles John",32,Belfast,Chief Baker,Victualling
207,"Keen, Mr. Percy Edward",28,Southampton,Saloon Steward,Victualling
208,"Kelland, Mr. Thomas",21,Southampton,Library Steward,Victualling
209,"Kennell, Mr. Charles",30,Southampton,Hebrew Cook,Victualling
210,"Kerley, Mr. William Thomas",28,Southampton,Assistant Saloon Steward,Victualling
211,"Ketchley, Mr. Henry",30,Belfast,Saloon Steward,Victualling
212,"Kieran, Mr. James W.",32,Southampton,Chief 3rd Class Steward,Victualling
213,"Kieran, Mr. Michael",31,Southampton,Storekeeper,Victualling
214,"King, Mr. Alfred",18,Southampton,Lift Steward,Victualling
215,"King, Mr. Ernest Waldron",28,Southampton,Clerk,Victualling
216,"King, Mr. G.",20,Southampton,Scullion,Victualling
217,"Kingscote, Mr. William Ford",43,Southampton,Saloon Steward,Victualling
218,"Kirkaldy, Mr. Thomas",37,Southampton,Bedroom Steward,Victualling
219,"Kitching, Mr. Arthur Alfred",30,Southampton,Saloon Steward,Victualling
220,"Klein, Mr. Herbert",33,Southampton,Barber,Victualling
221,"Knight, Mr. George",44,Southampton,Saloon Steward,Victualling
222,"Knight, Mr. Leonard George",21,Southampton,Steward,Victualling
223,"Lacey, Mr. Bert W.",21,Southampton,Assistant Saloon Steward,Victualling
224,"Lake, Mr. William",35,Belfast,Saloon Steward,Victualling
225,"Lane, Mr. Albert Edward",34,Southampton,Saloon Steward,Victualling
226,"Latimer, Mr. Andrew L.",55,Belfast,Chief First Class Steward,Victualling
227,"Lavington, Miss Bessie",39,Southampton,Stewardess,Victualling
228,"Lawrence, Mr. Arthur",25,Belfast,Saloon Steward,Victualling
229,"Leader, Mr. Archie",22,Southampton,Confectioner,Victualling
230,"Leather, Mrs Elizabeth May",41,Southampton,Stewardess,Victualling
231,"Lefebvre, Mr. Paul Georges",35,Southampton,Saloon Steward,Victualling
232,"Leonard, Mr. Matthew",26,Belfast,Steward,Victualling
233,"Levett, Mr. George Alfred",21,Belfast,Assistant Pantryman,Victualling
234,"Lewis, Mr. Arthur Ernest",27,Southampton,Steward,Victualling
235,"Light, Mr. C.",23,Southampton,Plate Steward,Victualling
236,"Littlejohn, Mr. Alexander James",40,Belfast,Saloon Steward,Victualling
237,"Lloyd, Mr. Humphrey",32,Belfast,Saloon Steward,Victualling
238,"Locke, Mr. A.",33,Southampton,Scullion,Victualling
239,"Longmuir, Mr. John Dickson",19,Southampton,Assistant Pantry Steward,Victualling
240,"Lovell, Mr. John",38,Southampton,Grill Cook,Victualling
241,"Lucas, Mr. William",34,Belfast,Saloon Steward,Victualling
242,"Lydiatt, Mr. Charles",38,Southampton,Saloon Steward,Victualling
243,"Mabey, Mr. J.",23,Southampton,Steward,Victualling
244,"Mackay, Mr. Charles Donald",34,Belfast,Saloon Steward,Victualling
245,"Mackie, Mr. George William",34,Southampton,Bedroom Steward,Victualling
246,"Major, Mr. Thomas Edgar",35,Belfast,Bath Steward,Victualling
247,"Mantle, Mr. Roland Frederick",36,Southampton,Steward,Victualling
248,"Marks, Mr. J.",26,Southampton,Assistant Pantryman Steward,Victualling
249,"Marriott, Mr. J.W.",20,Southampton,Assistant Pantryman Steward,Victualling
250,"Marsden, Miss Evelyn",28,Southampton,Stewardess,Victualling
251,"Martin, Mrs. Annie",33,Southampton,Stewardess,Victualling
252,"Martin, Mr. F.",29,Southampton,Scullion,Victualling
253,"Maynard, Mr. Isaac Hiram",31,Belfast,Entre Cook,Victualling
254,"Maytum, Mr. Alfred",52,Belfast,Chief Butcher,Victualling
255,"McCarthy, Mr. Frederick",36,Southampton,Bedroom Steward,Victualling
256,"McCawley, Mr. Thomas W.",36,Belfast,Gymnasium Steward,Victualling
257,"McElroy, Mr. Hugh Walter",37,Southampton,Purser,Victualling
258,"McGrady, Mr. James",27,Southampton,Saloon Steward,Victualling
259,"McLaren, Mrs.",40,Southampton,Stewardess,Victualling
260,"McMicken, Mr. Arthur",23,Belfast,Saloon Steward,Victualling
261,"McMicken, Mr. Benjamin Tucker",21,Belfast,Second Pantry Steward,Victualling
262,"McMullin, Mr. James",31,Belfast,Saloon Steward,Victualling
263,"McMurray, Mr. William Ernest",43,Belfast,Bedroom Steward,Victualling
264,"Mellor, Mr. Arthur",34,Southampton,Saloon Steward,Victualling
265,"Middleton, Mr. M.V.",24,Southampton,Saloon Steward,Victualling
266,"Mills, Mr. Christopher",51,Southampton,Butcher,Victualling
267,"Mishellamy, Mr. Abraham",52,Belfast,Printer Steward,Victualling
268,"Moore, Mr. Alfred Ernest",39,Southampton,Saloon Steward,Victualling
269,"Morgan (Bird), Mr. Charles Frederick",42,Southampton,Assistant Storekeeper,Victualling
270,"Morris, Mr. Frank Herbert",28,Belfast,Bathroom Steward,Victualling
271,"Moss, Mr. William",34,Belfast,1st Saloon Steward,Victualling
272,"Mullen, Mr. Thomas A.",20,Southampton,Steward,Victualling
273,"Neal, Mr. Henry",25,Southampton,Baker,Victualling
274,"Nicholls, Mr. Sidney",39,Southampton,Saloon Steward,Victualling
275,"Nichols, Mr. A. D.",34,Southampton,Steward,Victualling
276,"Nichols, Mr. Walter Henry",35,Southampton,Steward,Victualling
277,"O'Connor, Mr. Thomas Peter",39,Belfast,Bedroom Steward,Victualling
278,"Olive, Mr. Ernest Roskelly",28,Southampton,Clothes Presser Steward,Victualling
279,"Orpet, Mr. Walter Hayward",31,Southampton,Saloon Steward,Victualling
280,"Orr, Mr. J.",40,Southampton,Assistant Vegetable Cook,Victualling
281,"Osbourne, Mr. William Edward",32,Belfast,Saloon Steward,Victualling
282,"Owen, Mr. Lewis",49,Southampton,Assistant Saloon Steward,Victualling
283,"Pacey, Mr. Reginald Ivan",17,Southampton,Lift Steward,Victualling
284,"Paintin, Mr. James Arthur",29,Southampton,Captain's Steward,Victualling
285,"Parsons, Mr. Edward",35,Southampton,Chief Storekeeper,Victualling
286,"Parsons, Mr. Richard",18,Southampton,Saloon Steward,Victualling
287,"Pearce, Mr. Alfred Ernest",24,Southampton,Steward,Victualling
288,"Pearcey, Mr. Albert Victor",32,Southampton,Steward,Victualling
289,"Pennal, Mr. Thomas Francis",33,Southampton,Bath Steward,Victualling
290,"Penny, Mr. William Far",30,Southampton,Assistant Saloon Steward,Victualling
291,"Penrose, Mr. John Poole",49,Belfast,Bedroom Steward,Victualling
292,"Perkins, Mr. Laurence Alexander",22,Southampton,Telephone Steward,Victualling
293,"Perrin, Mr. William Charles",39,Southampton,Boots Steward,Victualling
294,"Perriton, Mr. Hubert Prouse",31,Southampton,Saloon Steward,Victualling
295,"Petty, Mr. Edwin Henry",25,Southampton,Bedroom Steward,Victualling
296,"Pfropper, Mr. Richard",30,Southampton,Saloon Steward,Victualling
297,"Phillimore, Mr. Harold Charles William",23,Belfast,Saloon Steward,Victualling
298,"Phillips, Mr. John George ""Jack""",25,Belfast,Telegraphist,Victualling
299,"Platt, Mr. W.",18,Belfast,Scullion,Victualling
300,"Pook, Mr. P.",34,Belfast,Assistant Pantry,Victualling
301,"Port, Mr. Frank",32,Belfast,Steward,Victualling
302,"Porteus, Mr. Thomas",32,Belfast,Butcher,Victualling
303,"Prentice, Mr. Frank Winnold",22,Belfast,Storekeeper,Victualling
304,"Prichard, Mrs. Alice",33,Belfast,Stewardess,Victualling
305,"Prideaux, Mr. John Arthur ""Jack""",23,Belfast,Steward,Victualling
306,"Prior, Mr. Harold John",21,Belfast,Steward,Victualling
307,"Proctor, Mr. Charles",40,Belfast,Chef,Victualling
308,"Pryce, Mr. Charles William",22,Southampton,Saloon Steward,Victualling
309,"Pugh, Mr. Alfred",20,Southampton,Steward,Victualling
310,"Pusey, Mr. John E.",35,Belfast,Saloon Steward,Victualling
311,"Randall, Mr. Frank Henry",27,Southampton,Saloon Steward,Victualling
312,"Ransom, Mr. James",33,Belfast,Saloon Steward,Victualling
313,"Rattonbury, Mr. William Henry",36,Belfast,Assistant Boots Steward,Victualling
314,"Ray, Mr. Frederick Dent",32,Belfast,Saloon Steward,Victualling
315,"Reed, Mr. Charles S.",43,Southampton,Bedroom Steward,Victualling
316,"Revell, Mr. William",31,Belfast,Saloon Steward,Victualling
317,"Rice, Mr. John Reginald",25,Southampton,Clerk,Victualling
318,"Rice, Mr. John Reginald",25,Southampton,Steward,Victualling
319,"Ricks, Mr. Cyril G.",23,Southampton,Storekeeper,Victualling
320,"Ridout, Mr. W.",29,Southampton,Saloon Steward,Victualling
321,"Rimmer, Mr. Gilbert",27,Southampton,Saloon Steward,Victualling
322,"Roberton, Mr. George Edward",19,Southampton,Assistant Saloon Steward,Victualling
323,"Roberts, Mr. Frank John",36,Belfast,Third Butcher,Victualling
324,"Roberts, Mr. Hugh H.",40,Southampton,Bedroom Steward,Victualling
325,"Roberts, Mrs. Mary Kezziah (née Humphrys)",41,Southampton,Saloon Steward,Victualling
326,"Robinson, Mrs. Annie ",40,Southampton,Stewardess,Victualling
327,"Robinson, Mr. James William",30,Southampton,Saloon Steward,Victualling
328,"Rogers, Mr. Edward James William",32,Southampton,Assistant Storekeeper,Victualling
329,"Rogers, Mr. Michael",27,Southampton,Saloon Steward,Victualling
330,"Ross, Mr. Horace Leopold",36,Southampton,Scullion,Victualling
331,"Rowe, Mr. Edward M.",31,Belfast,Saloon 1st Class Steward,Victualling
332,"Rule, Mr. Samuel James",58,Belfast,Bathroom Steward,Victualling
333,"Russell, Mr. Boysie Richard",17,Southampton,Saloon Steward,Victualling
334,"Ryan, Mr. Tom",27,Southampton,3rd Class Steward,Victualling
335,"Ryerson, Mr. William Edwy",32,Southampton,Saloon Steward,Victualling
336,"Samuel, Mr. Owen Wilmore",41,Southampton,Saloon Steward,Victualling
337,"Saunders, Mr. D. E.",26,Southampton,Saloon Steward,Victualling
338,"Savage, Mr. Charles J.",23,Southampton,Saloon Steward,Victualling
339,"Scott, Mr. John",21,Southampton,Boots Steward,Victualling
340,"Scovell, Mr. Robert",42,Southampton,Saloon Steward,Victualling
341,"Sedunary, Mr. Sidney Francis",25,Southampton,2nd Third Class Steward,Victualling
342,"Shea, Mr. John",39,Belfast,Saloon Steward,Victualling
343,"Slight, Mr. Harry John",35,Southampton,Steward,Victualling
344," Sloan, Miss Mary",28,Southampton,Stewardess,Victualling
345," Slocombe, Mrs Maud (née Waldon)",30,Southampton,Turkish Bath Stewardess,Victualling
346,"Smillie, Mr. John",38,Belfast,Saloon Steward,Victualling
347,"Smith, Mr. Charles Edward",38,Southampton,Bed Room Steward,Victualling
348," Smith, Miss Katherine E.",42,Southampton, Stewardess,Victualling
349," Snape, Mrs Lucy Violet",22,Southampton, Stewardess,Victualling
350,"Stap, Miss Sarah Agnes",47,Southampton, Stewardess,Victualling
351,"Stone, Mr. Edmond J.",26,Southampton,1st class Bedroom Steward,Victualling
352,"Stone, Mr. Edward Thomas",30,Southampton,1st class Bedroom Steward,Victualling
353,"Talbot, Mr. George Frederick Charles.",27,Southampton,Steward,Victualling
354,"Taylor, Mr. William",21,Southampton,Boots Steward,Victualling
355,"Teuton, Mr. Thomas Moore",32,Southampton,Saloon Steward,Victualling
356,"Turner, Mr. L[eopold].",28,Belfast,First Class Saloon Steward,Victualling
357,"Veal, Mr. Thomas H.E.",38,Southampton,First Class Saloon Steward,Victualling
358,"Wake, Mr. T.",32,Southampton,Asst. Baker,Victualling
359,"Wallis, Mrs Catherine Jane",35,Southampton,Second Class Matron,Victualling
360,"Walpole, Mr. James",48,Belfast,Chief Pantryman,Victualling
361," Walsh, Miss Catherine",32,Southampton, Stewardess,Victualling
362,"Ward, Mr. Edward",34,Southampton,First Class Bedroom Steward,Victualling
363,"Ward, Mr. Percy T.",38,Southampton,First Class Bedroom Steward,Victualling
364,"Ward, Mr. William",36,Southampton,First Class Saloon Steward,Victualling
365,"Wareham, Mr. Robert Arthur",36,Southampton,First Class Bedroom Steward,Victualling
366,"Warwick, Mr. Thomas",35,Southampton,First Class Saloon Steward,Victualling
367,"Weatherston, Mr. Thomas",24,Belfast,First Class Saloon Steward,Victualling
368,"Weikman, Mr. August",51,Southampton,First Class Barber,Victualling
369,"White, Mr J.W.",27,Southampton,Glory Hole Steward,Victualling
370,"White, Mr. L.",32,Southampton,First Class Saloon Steward,Victualling
371,"Whiteley, Mr. Thomas",18,Southampton,First Class Saloon Steward,Victualling
372,"Whitford, Mr. A.H.",37,Southampton,Second Class Slaoon Steward,Victualling
373,"Whittman, Mr. Henry",34,Southampton,First Class Bedroom Steward,Victualling
374,"Widgery, Mr. James G.",37,Southampton,Second Class Bath Steward,Victualling
375,"Wildebank, Mr. Alfred E.",39,Southampton,Asst. Cook,Victualling
